Designator,Footprint,Quantity,Value,LCSC Part #
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,3,10k,
"mix1, mix2, mix3, mix4, mult1, mult2, mult3, mult4",jackEuroTSTN,8,AudioJack2_Ground,
